,team,games_played,assist,assist_per_game,turnover,turnover_per_game,assist/to
1,Belmont,31,616,19.9,360,11.6,1.71
2,Michigan State,33,630,19.1,428,13.0,1.47
3,North Carolina,33,628,19.0,430,13.0,1.46
4,Tennessee,33,609,18.5,363,11.0,1.68
5,Gonzaga,33,601,18.2,342,10.4,1.76
6,Murray State,31,561,18.1,374,12.1,1.50
7,Oakland,33,580,17.6,425,12.9,1.36
8,Lipscomb,32,555,17.3,425,13.3,1.31
9,Yale,28,484,17.3,375,13.4,1.29
10,Utah State,34,585,17.2,426,12.5,1.37
12,Northern Kentucky,34,581,17.1,423,12.4,1.37
13,William & Mary,31,529,17.1,391,12.6,1.35
14,Southern Miss,32,540,16.9,338,10.6,1.60
15,Buffalo,34,573,16.9,399,11.7,1.44
16,Georgetown,32,532,16.6,435,13.6,1.22
17,Sam Houston State,32,531,16.6,399,12.5,1.33
18,Dayton,32,529,16.5,403,12.6,1.31
19,Toledo,32,526,16.4,394,12.3,1.34
20,USC,33,536,16.2,392,11.9,1.37
21,TCU,33,535,16.2,454,13.8,1.18
23,Arkansas,32,513,16.0,425,13.3,1.21
24,Creighton,32,512,16.0,420,13.1,1.22
25,Furman,32,510,15.9,401,12.5,1.27
26,Duke,34,541,15.9,446,13.1,1.21
27,Purdue Fort Wayne,33,525,15.9,395,12.0,1.33
28,Columbia,28,443,15.8,364,13.0,1.22
29,North Florida,33,520,15.8,535,16.2,0.97
30,Richmond,33,519,15.7,336,10.2,1.54
31,Bucknell,33,519,15.7,408,12.4,1.27
32,Iowa,33,519,15.7,399,12.1,1.30
34,Presbyterian,32,502,15.7,316,9.9,1.59
35,Abilene Christian,33,516,15.6,397,12.0,1.30
36,UMass Lowell,32,500,15.6,446,13.9,1.12
37,Colgate,34,531,15.6,443,13.0,1.20
38,Army,32,499,15.6,376,11.8,1.33
39,East Tennessee State,33,513,15.5,470,14.2,1.09
40,Memphis,34,527,15.5,512,15.1,1.03
41,Holy Cross,33,511,15.5,350,10.6,1.46
42,North Carolina Central,33,509,15.4,506,15.3,1.01
43,Hawai'i,31,478,15.4,368,11.9,1.30
45,The Citadel,30,462,15.4,386,12.9,1.20
46,Drake,33,508,15.4,436,13.2,1.17
47,Wofford,33,507,15.4,359,10.9,1.41
48,Montana State,32,491,15.3,394,12.3,1.25
49,Virginia Tech,32,491,15.3,364,11.4,1.35
50,Winthrop,30,460,15.3,456,15.2,1.01
51,Louisiana,32,488,15.3,423,13.2,1.15
52,Iowa State,34,518,15.2,378,11.1,1.37
53,Texas Southern,34,517,15.2,520,15.3,0.99
54,Lehigh,31,471,15.2,419,13.5,1.12
56,NC State,33,501,15.2,419,12.7,1.20
57,BYU,32,482,15.1,355,11.1,1.36
58,Houston,33,497,15.1,379,11.5,1.31
59,UNC Wilmington,33,495,15.0,435,13.2,1.14
