,TEAM,GP,PPG,FGM-game,FGA-game,FGM-total,FGA-total,FG%,2PM,2PA,2P%,PPS,FG%.adj
0,Gonzaga,33,88.8,32.2,60.5,1062,1997,.532,805,1293,.623,1.47,.596
1,South Dakota State,32,84.9,29.9,59.4,957,1901,.503,639,1125,.568,1.43,.587
2,Dayton,32,72.9,27.3,54.2,872,1734,.503,672,1135,.592,1.35,.561
3,Belmont,31,87.4,31.8,63.7,987,1976,.499,662,1105,.599,1.37,.582
4,Georgia Southern,33,82.6,30.7,61.5,1012,2028,.499,808,1396,.579,1.34,.549
5,Tennessee,33,82.3,30.0,60.2,991,1988,.498,766,1359,.564,1.37,.555
6,Montana,34,76.8,28.1,56.6,955,1923,.497,674,1184,.569,1.36,.570
7,Murray State,31,83.3,30.3,61.0,938,1890,.496,696,1195,.582,1.37,.560
8,Yale,28,80.6,29.8,60.3,834,1687,.494,617,1101,.560,1.34,.559
9,Loyola-Chicago,33,65.8,24.4,49.5,805,1632,.493,604,1083,.558,1.33,.555
12,Wofford,33,83.0,30.2,61.3,997,2022,.493,633,1148,.551,1.35,.583
13,Liberty,34,74.0,27.1,55.2,921,1878,.490,621,1061,.585,1.34,.570
14,Michigan State,33,79.2,27.9,57.2,922,1889,.488,649,1177,.551,1.38,.560
15,Gardner-Webb,34,78.3,27.4,56.2,933,1912,.488,661,1216,.544,1.39,.559
16,Hofstra,34,83.6,28.6,58.5,971,1990,.488,670,1216,.551,1.43,.564
17,East Tennessee State,33,79.2,29.4,60.6,971,2001,.485,710,1276,.556,1.31,.550
18,Utah Valley,33,77.2,26.6,54.9,879,1812,.485,611,1115,.548,1.41,.559
19,Little Rock,31,74.2,26.4,54.4,817,1687,.484,611,1105,.553,1.36,.545
20,Charleston,33,74.3,26.6,55.1,878,1818,.483,651,1151,.566,1.35,.545
21,Lipscomb,32,83.4,29.1,60.2,930,1926,.483,650,1171,.555,1.39,.556
24,Northeastern,33,76.1,26.2,54.3,864,1791,.482,542,961,.564,1.40,.572
25,Lehigh,31,80.0,27.6,57.3,856,1775,.482,569,1096,.519,1.40,.563
26,Creighton,32,78.8,28.2,58.4,901,1870,.482,553,987,.560,1.35,.575
27,Northern Kentucky,34,79.1,28.1,58.4,956,1986,.481,655,1163,.563,1.35,.557
28,Purdue Fort Wayne,33,82.7,30.0,62.4,991,2059,.481,631,1110,.568,1.32,.569
29,Boston University,33,72.3,27.9,58.2,922,1922,.480,701,1283,.546,1.24,.537
30,Colgate,34,75.8,27.4,57.0,930,1939,.480,625,1153,.542,1.33,.558
31,Kentucky,33,76.7,26.6,55.6,878,1835,.478,679,1288,.527,1.38,.533
32,Virginia,32,71.8,25.6,53.6,820,1715,.478,549,1052,.522,1.34,.557
33,Fairleigh Dickinson,33,75.4,26.5,55.6,876,1834,.478,622,1205,.516,1.36,.547
36,Duke,34,83.5,30.5,63.9,1037,2173,.477,790,1355,.583,1.31,.534
37,Iowa State,34,77.4,28.0,58.6,951,1994,.477,663,1205,.550,1.32,.549
38,Colorado State,32,74.8,27.1,56.8,866,1818,.476,607,1096,.554,1.32,.548
39,Furman,32,77.9,28.3,59.4,904,1900,.476,574,992,.579,1.31,.563
40,Weber State,33,79.3,27.9,58.6,920,1934,.476,671,1250,.537,1.35,.540
41,Virginia Tech,32,74.0,25.8,54.2,824,1733,.475,517,954,.542,1.37,.564
42,Omaha,32,78.8,29.7,62.4,950,1998,.475,668,1279,.522,1.26,.546
43,William & Mary,31,74.9,27.1,57.2,841,1773,.474,587,1038,.566,1.31,.546
44,American,30,72.0,26.0,54.8,780,1645,.474,590,1061,.556,1.31,.532
45,Abilene Christian,33,74.5,26.7,56.3,880,1858,.474,634,1221,.519,1.32,.540
46,Utah State,34,79.2,27.6,58.4,940,1985,.474,673,1233,.546,1.36,.541
47,Saint Mary's,33,72.9,26.5,56.1,876,1850,.474,631,1202,.525,1.30,.540
48,UMass Lowell,32,76.8,27.3,57.9,875,1852,.472,629,1131,.556,1.33,.539
49,Austin Peay,33,82.2,29.5,62.4,973,2060,.472,705,1358,.519,1.32,.537
50,Samford,33,78.3,27.9,59.1,921,1951,.472,667,1264,.528,1.32,.537
51,Mississippi State,33,77.3,27.6,58.5,911,1930,.472,627,1178,.532,1.32,.546
52,Richmond,33,70.1,25.7,54.5,849,1800,.472,598,1077,.555,1.29,.541
53,Texas Tech,32,73.1,26.2,55.5,837,1775,.472,605,1144,.529,1.32,.537
54,Northern Illinois,34,73.7,27.6,58.7,940,1995,.471,711,1353,.525,1.26,.529
55,Drake,33,75.5,26.7,56.6,880,1868,.471,607,1118,.543,1.33,.544
58,Ball State,33,75.1,26.9,57.3,889,1892,.470,687,1271,.541,1.31,.523
59,Boise State,33,71.6,25.6,54.6,845,1801,.469,593,1086,.546,1.31,.539
60,Xavier,33,71.9,26.1,55.8,862,1843,.468,631,1149,.549,1.29,.530
61,BYU,32,79.0,27.4,58.7,878,1878,.468,652,1194,.546,1.35,.528
62,Southern Miss,32,72.7,27.4,58.6,877,1876,.467,612,1193,.513,1.24,.538
63,San Francisco,31,76.1,27.9,59.7,864,1851,.467,606,1124,.539,1.27,.536
64,DePaul,30,76.9,27.6,59.1,827,1772,.467,624,1183,.527,1.30,.524
65,Southern Illinois,32,68.6,25.1,53.8,802,1720,.466,589,1150,.512,1.28,.528
66,Incarnate Word,31,65.9,22.9,49.3,711,1527,.466,537,1019,.527,1.34,.523
67,Georgia State,32,77.2,27.0,58.1,865,1858,.466,549,1044,.526,1.33,.551
70,Nevada,33,80.7,27.4,58.9,905,1944,.466,613,1113,.551,1.37,.541
71,Oakland,33,76.7,26.2,56.3,863,1858,.464,549,1042,.527,1.36,.549
72,North Dakota,30,74.0,27.4,59.0,822,1771,.464,581,1124,.517,1.25,.532
73,Utah,31,75.6,26.0,56.0,805,1735,.464,507,929,.546,1.35,.550
74,North Carolina,33,86.1,31.0,66.9,1023,2207,.464,734,1416,.518,1.29,.529
75,UCF,31,72.1,24.7,53.3,765,1652,.463,554,1056,.525,1.35,.527
